Name,Address,Project_Status,Occupancy_Year,Design___Accessible_1BR,Design___Accessible_2BR,Design___Accessible_3BR,Design___Accessible_4BR,Design___Accessible_Studio,Design___Accessible_Room,Design___Adaptable_1BR,Design___Adaptable_2BR,Design___Adaptable_3BR,Design___Adaptable_4BR,Design___Standard_1BR,Design___Standard_2BR,Design___Standard_3BR,Design___Standard_4BR,Design___Standard_Studio,Design___Standard_Room,Clientele__Families,Clientele___Seniors,Clientele___Other,Operator,Operator_type,Local_Area,Index_Number,Latitude,Longitude,URL
River District 5a,3245 Pierview Crescent,Approved,,,,,,,,,,,,13,19,12,,7,,31,0,20,,5,Killarney,808,49.20724891,-123.03866101,
Roddan Lodge,124 Dunlevy,Approved,,,,,,,,,,,,,,,,,,0,0,57,,5,Strathcona,802,49.28373962,-123.0948261,
Ryerson Church,2200 - 2300 W 45th Ave,Approved,,,,,,,,,,,,13,6,,,13,,6,0,26,,5,Kerrisdale,810,49.23115707,-123.15944769,
"1115, 1131, 1141 Franklin St",1131 Franklin Street,Completed,2018,,,,,7,,,,,,,,,,32,,0,0,39,PHS Community Services Society,1,Strathcona,842,49.28257659,-123.0805724,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=842
288 - 292 E Hastings,"288 E Hastings, 292 E Hastings",Completed,2018,,,,,8,,,,,,,,,,96,,0,0,104,BC Housing,4,Strathcona,788,49.28092965,-123.09785846,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=788
41 E Hastings,41 E Hastings,Completed,2018,,,,,0,,,,,,,,,,120,,0,0,120,Atira Women’s Resource Society,1,Downtown,786,49.2817005,-123.10334298,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=786
525 Powell Street,525 Powell Street,Completed,2018,,,,,7,,,,,,,,,,32,,0,0,39,Atira Women’s Resource Society,1,Strathcona,843,49.28330691,-123.09255007,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=843
7430 & 7460 Heather Street,7430 & 7460 Heather Street,Completed,2018,,,,,14,,,,,,,,,,64,,0,0,78,Community Builders Group,1,Marpole,803,49.21814688,-123.12130369,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=803
95 E 1st Ave,95 E 1st,Completed,2018,7,1,1,,0,,0,0,0,,20,43,28,,35,,72,0,63,Community Land Trust Foundation of BC,1,Mount Pleasant,806,49.27045793,-123.10318172,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=806
Belcourt,947 E Hastings,Completed,2018,,,,,,,,,,,30,17,,,23,,0,0,70,Lookout Emergency Aid Society,1,Strathcona,830,49.28133997,-123.08403266,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=830
CentralPC Housing Society,1106 Pendrell,Completed,2018,0,0,,,2,,0,0,,,14,3,,,26,,0,0,45,CentralPC Housing Society,1,West End,776,49.28112636,-123.13074473,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=776
Margaret Mitchell Place,2132 Ash Street,Completed,2018,,,,,6,,,,,,,,,,46,,0,0,52,PHS Community Services Society,1,Fairview,845,49.26631322,-123.11698471,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=845
Sarah Ross House,4410 Kaslo,Completed,2018,,,,,6,,,,,,,,,,46,,0,0,52,Atira Women’s Resource Society,1,,844,,,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=844
co:here housing,1723 Victoria,Completed,2018,,,,,,,,,,,6,,,,20,,0,0,26,Salsbury Community Society,1,Grandview-Woodland,778,49.26927219,-123.06615515,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=778
1105 Seymour,1105 Seymour,Completed,2017,0,0,0,0,0,0,0,0,0,0,44,19,0,0,,18,19,0,62,City of Vancouver,4,Downtown,772,49.27759099,-123.12412411,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=772
1700-1720 Kingsway,1700-1720 Kingsway,Completed,2017,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,48,Katherine Sanford Housing Society,1,Kensington-Cedar Cottage,775,49.24684661,-123.06946375,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=775
220 Terminal,220 Terminal,Completed,2017,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,40,City of Vancouver,4,Strathcona,839,49.27237498,-123.09968569,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=839
Cause we Care House,730 E Hastings,Completed,2017,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,21,0,0,YWCA Vancouver,1,Strathcona,771,49.28082218,-123.0888949,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=771
The Wohlsein,311 E 6th Ave,Completed,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,Vancouver Resource Society for the Physically Disabled,1,Mount Pleasant,770,49.26560655,-123.09852282,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=770
188 Keefer,188 Keefer,Completed,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22,0,S.U.C.C.E.S.S,1,Downtown,767,49.27911983,-123.10033058,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=767
Immigrant Services Society,2610 Victoria,Completed,2016,0,0,0,0,0,0,0,0,0,0,0,6,22,0,0,0,0,0,28,Immigrant Services Society of BC (ISSofBC),1,Kensington-Cedar Cottage,766,49.26105906,-123.06540833,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=766
Jubilee House,1099 Richards Street,Completed,2016,0,0,0,0,4,0,0,0,0,0,49,0,0,0,109,0,0,31,131,The 127 Society for Housing,1,Downtown,197,49.27692432,-123.12324421,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=197
Alexander,626 Alexander,Completed,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,Community Builders Group,1,Strathcona,764,49.28366473,-123.09066952,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=764
Budzey Building,220 Princess Av,Completed,2015,0,3,0,0,9,0,0,0,0,0,14,10,11,0,100,0,24,0,123,Raincity Housing and Support Society,1,Strathcona,691,49.2827536,-123.09089702,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=691
Cordovan,557 E Cordova St,Completed,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,MPA Society,1,Strathcona,760,49.28239934,-123.09214537,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=760
John Paul II Centre,4899 Heather St,Completed,2015,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,9,0,Providence Health Care Society,1,South Cambie,735,49.24200811,-123.12207964,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=735
Remand Centre,211 Gore Av,Completed,2015,0,0,0,0,0,0,0,0,0,0,14,0,0,0,82,0,0,0,96,BC Housing,4,Strathcona,715,49.28271871,-123.09858031,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=715
Sequel 138,138 E Hastings,Completed,2015,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,18,FJL Housing Society,1,Downtown,763,49.28105782,-123.10119662,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=763
395 Kingsway (former Biltmore Hotel),395 Kingsway,Completed,2014,,,,,,0,,,,,,,,,,95,0,0,95,Raincity Housing and Support Society,1,Mount Pleasant,728,49.26029607,-123.09659106,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=728
